ags,57053718,-162,38,9589,62,-5,123
ags,57053719,-152,55,9655,50,-14,120
ags,57053720,-113,65,9658,52,-17,117
ags,57053721,-137,21,9680,77,-17,108
ags,57053722,-169,35,9638,86,-27,104
ags,57053723,-216,47,9699,76,-34,121
ags,57053724,-228,38,9604,62,-28,132
ags,57053725,-196,47,9562,56,-26,128
ags,57053726,-159,43,9628,67,-29,127
ags,57053727,-167,25,9631,68,-28,128
ags,57053728,-213,50,9631,63,-29,125
ags,57053729,-225,38,9653,70,-27,130
ags,57053730,-174,47,9648,71,-44,110
ags,57053731,-164,23,9599,62,-24,117
ags,57053732,-125,40,9572,52,-33,119
ags,57053733,-203,65,9567,68,-50,126
ags,57053734,-223,112,9648,76,-32,111
ags,57053735,-174,72,9641,73,-39,107
ags,57053736,-198,115,9655,68,-43,132
ags,57053737,-118,82,9628,79,-39,147
ags,57053738,-157,91,9589,80,-30,121
ags,57053739,-206,129,9621,64,-28,96
ags,57053740,-181,106,9714,50,-40,105
ags,57053741,-164,134,9604,58,-42,121
ags,57053742,-218,89,9592,66,-43,115
ags,57053743,-240,94,9694,67,-40,117
ags,57053744,-238,77,9724,59,-30,130
ags,57053745,-142,35,9765,59,-25,127
ags,57053746,-130,28,9628,72,-21,125
ags,57053747,-155,62,9614,76,-23,123
ags,57053748,-152,69,9597,69,-32,126
ags,57053749,-147,91,9582,55,-46,128
ags,57053750,-115,45,9614,59,-43,124
ags,57053751,-125,60,9623,62,-22,147
ags,57053752,-150,55,9702,62,-31,143
ags,57053753,-157,62,9711,63,-39,137
ags,57053754,-159,82,9628,65,-19,137
ags,57053755,-79,55,9638,59,-8,115
ags,57053756,-169,60,9616,67,-14,131
ags,57053757,-194,1,9616,62,-29,112
ags,57053758,-115,11,9641,51,-29,114
ags,57053759,-152,38,9699,49,-33,127
ags,57053760,-162,129,9641,54,-27,137
ags,57053761,-184,57,9655,73,-14,134
ags,57053762,-162,30,9750,73,-14,120
ags,57053763,-194,35,9648,63,-28,113
ags,57053764,-172,82,9619,58,-8,124
ags,57053765,-142,43,9597,53,-10,127
ags,57053766,-167,33,9523,57,-17,135
ags,57053767,-194,-6,9526,72,-15,139
ags,57053768,-130,-43,9560,76,-33,141
ags,57053769,-150,16,9550,68,-29,133
ags,57053770,-123,52,9682,55,-33,137
ags,57053771,-142,89,9748,66,-26,133
ags,57053772,-120,108,9594,67,-16,134
ags,57053773,-113,28,9614,44,-26,133
ags,57053774,-125,43,9658,43,-29,128
ags,57053775,-147,69,9648,62,-24,117
ags,57053776,-125,62,9697,62,-24,113
ags,57053777,-115,8,9655,73,-27,127
ags,57053778,-159,30,9650,63,-32,140
ags,57053779,-145,108,9653,48,-34,133
ags,57053780,-184,164,9606,64,-27,121
ags,57053781,-159,96,9623,70,-23,130
ags,57053782,-184,69,9704,66,-34,131
ags,57053783,-184,52,9597,65,-30,127
ags,57053784,-189,108,9572,65,-29,140
ags,57053785,-135,154,9621,60,-33,121
ags,57053786,-137,77,9570,53,-41,119
ags,57053787,-150,69,9589,53,-32,134
ags,57053788,-145,87,9587,63,-34,145
ags,57053789,-140,60,9584,69,-40,143
